Clone name,Pathogen,Species,Reaction,Part,Notes,Refcode,Infection,Info,Accession
B 22 /7 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
B 23 /2 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
B 23 /6 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
B 23 /9 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
B 5 /3 [POU],Phytophthora,,resistant,,,BUT98A,,,
B 5 /3 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
B 5 /7 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
B 6 /29 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
B 8 /4 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
CC 10,Vascular Streak Dieback,,susceptible,,,BUT98A,,,
CC 11,Vascular Streak Dieback,,resistant,,,BUT98A,,,
CC 60,Vascular Streak Dieback,,susceptible,,,BUT98A,,,
CL 10 /15,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
CL 27 /79,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
CLM 113,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
CLM 19,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
CLM 83,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
CLM 96,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
CRU 156 (MIS_TTOICGT_GU 175 /P),Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
DR 1,Vascular Streak Dieback,,resistant,,,BUT98A,,,
EET 162 [ECU],Phytophthora,,resistant,,,BUT98A,,,
EET 162 [ECU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
EET 272 [ECU],Phytophthora,,resistant,,,BUT98A,,,
EET 272 [ECU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
EET 272 [ECU],Ceratosystis,,resistant,,,BUT98A,,,
EET 272 [ECU],Vascular Streak Dieback,,susceptible,,,BUT98A,,,
EET 338 [ECU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
EET 58 [ECU],Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
EET 59 [ECU],Phytophthora,,resistant,,,BUT98A,,,
EET 59 [ECU],Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
GS 10,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
GS 67,Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
GS 77,Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
ICS 10,Phytophthora,,resistant,,,BUT98A,,,
ICS 10,Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
ICS 18,Phytophthora,,resistant,,,BUT98A,,,
ICS 18,Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
ICS 25,Phytophthora,,resistant,,,BUT98A,,,
ICS 25,Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
ICS 32,Phytophthora,,resistant,,,BUT98A,,,
ICS 32,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
ICS 40,Phytophthora,,resistant,,,BUT98A,,,
ICS 40,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
ICS 45,Phytophthora,,resistant,,,BUT98A,,,
ICS 45,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
ICS 46,Phytophthora,,resistant,,,BUT98A,,,
ICS 46,Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
ICS 47,Phytophthora,,resistant,,,BUT98A,,,
ICS 47,Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
ICS 49,Phytophthora,,resistant,,,BUT98A,,,
ICS 49,Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
ICS 63,Phytophthora,,resistant,,,BUT98A,,,
ICS 63,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
ICS 76,Phytophthora,,resistant,,,BUT98A,,,
ICS 76,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
ICS 8,Phytophthora,,resistant,,,BUT98A,,,
ICS 8,Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
ICS 86,Phytophthora,,resistant,,,BUT98A,,,
ICS 89,Phytophthora,,resistant,,,BUT98A,,,
ICS 89,Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
ICS 93,Phytophthora,,resistant,,,BUT98A,,,
ICS 93,Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
ICS 94,Phytophthora,,resistant,,,BUT98A,,,
ICS 94,Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
ICS 95,Phytophthora,,resistant,,,BUT98A,,,
IMC 103,Phytophthora,,resistant,,,BUT98A,,,
IMC 103,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
IMC 105,Phytophthora,,resistant,,,BUT98A,,,
IMC 107,Phytophthora,,resistant,,,BUT98A,,,
IMC 107,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
IMC 16,Phytophthora,,resistant,,,BUT98A,,,
IMC 16,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
IMC 27,Phytophthora,,resistant,,,BUT98A,,,
IMC 27,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
IMC 27,Ceratosystis,,resistant,,,BUT98A,,,
IMC 38,Phytophthora,,resistant,,,BUT98A,,,
IMC 39,Phytophthora,,resistant,,,BUT98A,,,
IMC 39,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
IMC 41,Phytophthora,,resistant,,,BUT98A,,,
IMC 41,Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
IMC 47,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
IMC 47,Vascular Streak Dieback,,susceptible,,,BUT98A,,,
IMC 54,Phytophthora,,resistant,,,BUT98A,,,
IMC 65,Phytophthora,,resistant,,,BUT98A,,,
IMC 65,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
IMC 78,Phytophthora,,resistant,,,BUT98A,,,
IMC 78,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
IMC 94,Phytophthora,,resistant,,,BUT98A,,,
JA 1 /10 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
JA 1 /20 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
JA 1 /21 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
JA 10 /52 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
JA 2 /8 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
JA 3 /20 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
JA 4 /7 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
JA 5 /12 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
JA 5 /41 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
JA 5 /8 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
JA 8 /16 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
JA 8 /24 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
JA 9 /14 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
LCT EEN 15 /S-3,Phytophthora,,resistant,,,BUT98A,,,
LCT EEN 15 /S-3,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
LCT EEN 280,Phytophthora,,resistant,,,BUT98A,,,
LCT EEN 280,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
LP 1 /10 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
LP 1 /37 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
LP 1 /4 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
LP 1 /44 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
LP 1 /45 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
LP 1 /46 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
LP 3 /5 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
LP 4 /18 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
LP 4 /24 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
LP 4 /32 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
LP 5 /8 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
LV 56 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
LV 6 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
LX 16,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
LX 20,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
LX 25,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
LX 48,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
LZ 8,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
MO 109,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
MO 76,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
MOQ 1 /16,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
MOQ 1 /21,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
MOQ 2 /16,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
MOQ 2 /7,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
MOQ 2 /8,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
MOQ 4 /20,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
MOQ 4 /23,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
MOQ 4 /25,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
MOQ 4 /4,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
MOQ 5 /34,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
MOQ 5 /4,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
MOQ 5 /5,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
MOQ 6 /11,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
MOQ 6 /46,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
MOQ 6 /55,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
MOQ 6 /67,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
MOQ 6 /92,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 104,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 112,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 13,Vascular Streak Dieback,,susceptible,,,BUT98A,,,
NA 137,Phytophthora,,resistant,,,BUT98A,,,
NA 137,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 141,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 144,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 159,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 170,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 176,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 183,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 187,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 191,Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
NA 226,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 227,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 228,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 230,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 26,Phytophthora,,resistant,,,BUT98A,,,
NA 26,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 26,Vascular Streak Dieback,,susceptible,,,BUT98A,,,
NA 268,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 319,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 32,Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
NA 32,Vascular Streak Dieback,,susceptible,,,BUT98A,,,
NA 337,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 39,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 409,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 43,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 432,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 46,Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
NA 504,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 58,Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
NA 672,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 693,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 694,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 70,Phytophthora,,resistant,,,BUT98A,,,
NA 70,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 713,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 739,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 74,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 746,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 750,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 753,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 758,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 773,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 794,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 8,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 804,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
NA 824,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
PA 107 [PER],Vascular Streak Dieback,,resistant,,,BUT98A,,,
PA 121 [PER],Phytophthora,,resistant,,,BUT98A,,,
PA 121 [PER],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
PA 121 [PER],Ceratosystis,,resistant,,,BUT98A,,,
PA 121 [PER],Vascular Streak Dieback,,susceptible,,,BUT98A,,,
PA 135 [PER],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
PA 137 [PER],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
PA 141 [PER],Phytophthora,,resistant,,,BUT98A,,,
PA 141 [PER],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
PA 156 [PER],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
PA 156 [PER],Vascular Streak Dieback,,susceptible,,,BUT98A,,,
PA 171 [PER],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
PA 171 [PER],Vascular Streak Dieback,,susceptible,,,BUT98A,,,
PA 175 [PER],Vascular Streak Dieback,,susceptible,,,BUT98A,,,
PA 191 [PER],Vascular Streak Dieback,,resistant,,,BUT98A,,,
PA 195 [PER],Vascular Streak Dieback,,susceptible,,,BUT98A,,,
PA 202 [PER],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
PA 296 [PER],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
PA 3 [PER],Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
PA 300 [PER],Vascular Streak Dieback,,resistant,,,BUT98A,,,
PA 303 [PER],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
PA 303 [PER],Ceratosystis,,resistant,,,BUT98A,,,
PA 34 [PER],Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
PA 4 [PER],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
PA 46 [PER],Phytophthora,,resistant,,,BUT98A,,,
PA 46 [PER],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
PA 48 [PER],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
PA 67 [PER],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
PA 88 [PER],Vascular Streak Dieback,,resistant,,,BUT98A,,,
PLAYA ALTA 2 [VEN],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
POUND 10 /B,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
POUND 10 /C,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
POUND 12 /B,Ceratosystis,,resistant,,,BUT98A,,,
POUND 16 /B,Phytophthora,,resistant,,,BUT98A,,,
POUND 16 /B,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
POUND 16 /B,Ceratosystis,,resistant,,,BUT98A,,,
POUND 18,Phytophthora,,resistant,,,BUT98A,,,
POUND 18,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
POUND 25 /A,Phytophthora,,resistant,,,BUT98A,,,
POUND 25 /A,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
POUND 25 /A,Ceratosystis,,resistant,,,BUT98A,,,
POUND 26 /C,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
POUND 31 /A,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
POUND 32 /A,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
RIM 10 [MEX],Ceratosystis,,resistant,,,BUT98A,,,
RIM 13 [MEX],Ceratosystis,,resistant,,,BUT98A,,,
RIM 48 [MEX],Ceratosystis,,resistant,,,BUT98A,,,
RIM 76 [MEX],Vascular Streak Dieback,,resistant,,,BUT98A,,,
SC 19 [COL],Ceratosystis,,resistant,,,BUT98A,,,
SC 6 [COL],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
SCA 11,Phytophthora,,resistant,,,BUT98A,,,
SCA 11,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
SCA 17,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
SCA 5,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
SCA 6,Phytophthora,,resistant,,,BUT98A,,,
SCA 6,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
SCA 6,Ceratosystis,,resistant,,,BUT98A,,,
SLA 30,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
SLA 64,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
SLA 74,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
SLC 4,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
SM 10 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
SNK 12,Phytophthora,,resistant,,,BUT98A,,,
SNK 12,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
SPA 10 [COL],Phytophthora,,resistant,,,BUT98A,,,
SPA 10 [COL],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
SPA 18 [COL],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
SPA 4 [COL],Phytophthora,,resistant,,,BUT98A,,,
SPA 4 [COL],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
SPA 7 [COL],Phytophthora,,resistant,,,BUT98A,,,
SPA 7 [COL],Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
SPA 9 [COL],Phytophthora,,resistant,,,BUT98A,,,
SPA 9 [COL],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
SPEC 160 /9,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
SPEC 185 /4,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
SPEC 194 /103,Phytophthora,,resistant,,,BUT98A,,,
SPEC 194 /103,Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
SPEC 194 /109,Phytophthora,,resistant,,,BUT98A,,,
SPEC 194 /109,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
SPEC 194 /16,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
SPEC 194 /62,Phytophthora,,resistant,,,BUT98A,,,
SPEC 194 /62,Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
UF 12,Phytophthora,,resistant,,,BUT98A,,,
UF 12,Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
UF 29,Witches' Broom,,susceptible,Field Reaction,,BUT98A,,,
UF 29,Ceratosystis,,resistant,,,BUT98A,,,
UF 29,Vascular Streak Dieback,,susceptible,,,BUT98A,,,
UF 667,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
UF 667,Vascular Streak Dieback,,resistant,,,BUT98A,,,
UF 668,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
UF 705,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
PBC 112,Vascular Streak Dieback,,intermediate,,,PRA82A,,,
PBC 112,Phytophthora,,intermediate,,,PRA82A,,,
PBC 112,Canker,,resistant,,,PRA82A,,,
PBC 123,Vascular Streak Dieback,,resistant,,,PRA82A,,,
PBC 123,Phytophthora,,intermediate,,,PRA82A,,,
PBC 123,Canker,,intermediate,,,PRA82A,,,
PBC 128,Vascular Streak Dieback,,intermediate,,,PRA82A,,,
PBC 128,Phytophthora,,resistant,,,PRA82A,,,
PBC 128,Canker,,resistant,,,PRA82A,,,
PBC 130,Vascular Streak Dieback,,intermediate,,,PRA82A,,,
PBC 130,Phytophthora,,intermediate,,,PRA82A,,,
PBC 131,Vascular Streak Dieback,,susceptible,,,PRA82A,,,
PBC 131,Phytophthora,,resistant,,,PRA82A,,,
PBC 131,Canker,,resistant,,,PRA82A,,,
PBC 137,Vascular Streak Dieback,,resistant,,,PRA82A,,,
PBC 137,Phytophthora,,resistant,,,PRA82A,,,
PBC 137,Canker,,resistant,,,PRA82A,,,
PBC 139,Vascular Streak Dieback,,intermediate,,,PRA82A,,,
PBC 139,Phytophthora,,intermediate,,,PRA82A,,,
PBC 139,Canker,,resistant,,,PRA82A,,,
PBC 140,Vascular Streak Dieback,,intermediate,,,PRA82A,,,
PBC 140,Phytophthora,,intermediate,,,PRA82A,,,
PBC 140,Canker,,resistant,,,PRA82A,,,
PBC 154,Vascular Streak Dieback,,resistant,,,PRA82A,,,
PBC 154,Phytophthora,,resistant,,,PRA82A,,,
PBC 154,Canker,,resistant,,,PRA82A,,,
PBC 159,Vascular Streak Dieback,,resistant,,,PRA82A,,,
PBC 159,Phytophthora,,resistant,,,PRA82A,,,
PBC 159,Canker,,resistant,,,PRA82A,,,
BR 25,Phytophthora,,moderate resistance,,,NSI20A,,,
BR 25,Witches' Broom,,moderate resistance,,,NSI20A,,,
DR 1,Phytophthora,,moderate resistance,,,NSI20A,,,
DR 1,Witches' Broom,,moderate resistance,,,NSI20A,,,
ICS 40,Phytophthora,,moderate resistance,,,NSI20A,,,
ICS 40,Witches' Broom,,moderate resistance,,,NSI20A,,,
K 1 [PHL],Phytophthora,,moderately susceptible,,,NSI20A,,,
K 1 [PHL],Witches' Broom,,moderate resistance,,,NSI20A,,,
K 2 [PHL],Witches' Broom,,moderate resistance,,,NSI20A,,,
K 9 [PHL],Phytophthora,,moderate resistance,,,NSI20A,,,
K 9 [PHL],Witches' Broom,,moderate resistance,,,NSI20A,,,
P7 [PHL],Phytophthora,,moderate resistance,,,NSI20A,,,
P7 [PHL],Witches' Broom,,moderate resistance,,,NSI20A,,,
PBC 123,Phytophthora,,tolerant,,,NSI20A,,,
PBC 123,Witches' Broom,,resistant,,,NSI20A,,,
S 5 [TAF],Phytophthora,,moderate resistance,,,NSI20A,,,
S 5 [TAF],Witches' Broom,,moderately susceptible,,,NSI20A,,,
UF 18,Phytophthora,,tolerant,,,NSI20A,,,
UF 18,Witches' Broom,,moderate resistance,,,NSI20A,,,
UIT 1,Phytophthora,,moderate resistance,,,NSI20A,,,
UIT 1,Witches' Broom,,moderate resistance,,,NSI20A,,,
USM CH 1,Phytophthora,,tolerant,,,NSI20A,,,
USM CH 1,Witches' Broom,,resistant,,,NSI20A,,,
USM CH 2,Phytophthora,,tolerant,,,NSI20A,,,
USM CH 2,Witches' Broom,,moderate resistance,,,NSI20A,,,
ICS 1,Witches' Broom,,tolerant,Pod,,CRU94B,,,
ICS 10,Phytophthora,P. palmivora,resistant,Pod,,CRU94B,,,
ICS 10,Witches' Broom,,resistant,Cushion/Flower,,CRU94B,,,
ICS 13,Witches' Broom,,tolerant,Vegetative,,CRU94B,,,
ICS 14,Witches' Broom,,resistant,Vegetative,,CRU94B,,,
ICS 17,Witches' Broom,,tolerant,Vegetative,,CRU94B,,,
ICS 17,Witches' Broom,,tolerant,Pod,,CRU94B,,,
ICS 2,Witches' Broom,,tolerant,Pod,,CRU94B,,,
ICS 2,Witches' Broom,,resistant,Cushion/Flower,,CRU94B,,,
ICS 22,Witches' Broom,,resistant,Cushion/Flower,,CRU94B,,,
ICS 24,Witches' Broom,,tolerant,Cushion/Flower,,CRU94B,,,
ICS 24,Witches' Broom,,tolerant,Vegetative,,CRU94B,,,
ICS 25,Phytophthora,P. palmivora,resistant,Pod,,CRU94B,,,
ICS 25,Witches' Broom,,tolerant,Cushion/Flower,,CRU94B,,,
